生	生	なま	adj-no,adj-na,pref	raw; uncooked; fresh; natural								
保つ	保つ	たもつ	vt | vi	to keep; to preserve | to last; to endure								
信念	信念	しんねん	n,vs,adj-no	belief; faith								
値上がり	値上がり	ねあがり	n	price increase								
値上げ	値上げ	ねあげ	n,vs	price increase								
値下げ	値下げ	ねさげ	n,vs	price decrease								
偽物	偽物[にせもの]	にせもの	n,adj-no	counterfeit; imitation								
充電	充電[じゅうでん]	じゅうでん	n,vs	charging (electrically)	スマホを充電した？		Did you charge your smartphone?					
入金	入金	にゅうきん	n,vs	deposit; payment								
全く	全く	まったく	adv,adj-no	entirely; completely								
共に	共に	ともに	adv	jointly; at the same time								
再び	再び	ふたたび	adv	again; a second time								
再度	再度	さいど	n-adv,n	twice; again; second time								
冷凍庫	冷凍庫	れいとうこ	n	freezer								
初心者	初心者	しょしんしゃ	n	beginner								
別に	別に	べつに	adv	not particularly | separately; additionally								
利用者	利用者	りようしゃ	n	user; consumer								
効果的	効果的[こうかてき]	こうかてき	adj-na	effective; successful								
参加者	参加者	さんかしゃ	n	participant								
又	又[また]	また	adv,conj,pref	again; and; also								
取り上げる	取り上げる	とりあげる	vt	to pick up; to adopt; to accept | to confiscate								
受かる	受かる	うかる	vi	to pass (examination)								
かなり	かなり	かなり	adj-no,adj-na,adv	considerably; fairly; quite								
台	台	だい	n	stand; rack								
和菓子	和菓子[わがし]	わがし	n	Japanese sweets								
地球上	地球上	ちきゅうじょう	adj-no	on the earth								
基づく	基[もと]づく	もとづく	vi	to be based on; to originate from								
報告書	報告書	ほうこくしょ	n	(written) report								
境	境[さかい]	さかい	n	border; boundary								
ゆうべ	ゆうべ	ゆうべ	n	last night								
大声	大声	おおごえ	n,adj-no	loud voice								
大量	大量	たいりょう	adj-na,n,adj-no	large quantity								
大雨	大雨	おおあめ	n	heavy rain								
学費	学費	がくひ	n	tuition; school expenses								
宝くじ	宝[たから]くじ	たからくじ	n	lottery | lottery ticket								
実に	実に	じつに	adv	indeed; really; truly								
むしろ	むしろ	むしろ	adv	rather; better; instead								
専門家	専門家	せんもんか	n	specialist; professional; authority								
小麦粉	小麦粉	こむぎこ	n	wheat flour								
少しも	少しも	すこしも	adv	not one bit								
おる	おる	おる	vi	(hum) to be; to exist; keigo version of いる								
工夫	工夫	くふう	n,vs	scheme; device								
平日	平日	へいじつ	n	weekday								
平気	平気	へいき	n,adj-na	calmness; composure								
年末	年末	ねんまつ	n	end of the year								
延びる	延[の]びる	のびる	vi	to lengthen; to grow; to be extended; to be postponed								
引っ越し	引っ越し	ひっこし	n,vs	moving; changing residence								
役立つ	役立つ	やくだつ	vi	to be useful								
後悔	後悔[こうかい]	こうかい	n,vs	regret; remorse								
徐々	徐々[じょじょ]	じょじょ	adv	gradually; steadily; little by little								
怪我	怪我[けが]	けが	n,vs	injury; hurt								
手に入れる	手に入れる	てにいれる	vt	to obtain; to procure								
手荷物	手荷物	てにもつ	n	hand luggage								
抜群	抜群[ばつぐん]	ばつぐん	adj-no,adj-na	outstanding; exceptional								
担当者	担当者[たんとうしゃ]	たんとうしゃ	n	person in charge; person responsible								
持ち上げる	持ち上げる	もちあげる	vt	to raise; to lift up								
掲示板	掲示板[けいじばん]	けいじばん	n	bulletin board								
敬語	敬語[けいご]	けいご	n	honorific language								
料理屋	料理屋	りょうりや	n	restaurant								
新婦	新婦[しんぷ]	しんぷ	n	bride								
新郎	新郎[しんろう]	しんろう	n	bridegroom								
既に	既[すで]に	すでに	adv	already								
日ごろ	日ごろ	ひごろ	n-adv	normally; habitually								
旧～	旧[きゅう]～	きゅう～	pref	ex-; former-; old-								
昇る	昇[のぼ]る	のぼる	vi	to ascend; to climb								
星占い	星占[ほしうらな]い	ほしうらない	n	astrology; horoscope								
昨年	昨年	さくねん	n	last year								
昨晩	昨晩	さくばん	n	last night								
昼過ぎ	昼過ぎ	ひるすぎ	n	a little past noon								
時給	時給	じきゅう	n	hourly wage								
曜日	曜日	ようび	n	day of the week								
替える	替える	かえる	vt	to replace; to exchange; to substitute								
～最中	～最中	～さいちゅう	n-adv	in the middle of ～								
月曜	月曜	げつよう	n	Monday							Abbreviation of 月曜日	
火曜	火曜[かよう]	かよう	n	Tuesday							Abbreviation of 火曜日	
水曜	水曜[すいよう]	すいよう	n	Wednesday							Abbreviation of 水曜日	
木曜	木曜[もくよう]	もくよう	n	Thursday							Abbreviation of 木曜日	
金曜	金曜[きんよう]	きんよう	n	Friday							Abbreviation of 金曜日	
土曜	土曜[どよう]	どよう	n	Saturday							Abbreviation of 土曜日	
日曜	日曜[にちよう]	にちよう	n	Sunday							Abbreviation of 日曜日	
朝寝坊	朝寝坊	あさねぼう	n,vs	oversleeping								
朝食	朝食	ちょうしょく	n	breakfast								
本気	本気	ほんき	n,adj-na	seriousness; earnestness								
格好	格好	かっこう	n	shape; form; posture								
次回	次回	じかい	n-adv,n	next time								
～次第	～次第	～しだい	suf	depending on ～; as soon as ～								
残業	残業	ざんぎょう	n,vs	overtime (work)								
毛虫	毛虫[けむし]	けむし	n	hairy caterpillar								
注	注	ちゅう	n,vs	annotation; explanatory note								
津波	津波	つなみ	n	tidal wave								
浴衣	浴衣[ゆかた]	ゆかた	n	yukata (Japanese bathrobe)								
満開	満開	まんかい	n,vs	full bloom								
溶ける	溶[と]ける	とける	vi	to melt; to thaw								
めったに	めったに	めったに	adv	rarely; seldom								
漫画家	漫画家[まんがか]	まんがか	n	cartoonist; manga artist								
熱中	熱中	ねっちゅう	n,vs	enthusiasm; mania								
片手	片手	かたて	n,adj-no	one hand								
独り	独り	ひとり	n	one person; alone; solitary								
玉	玉[たま]	たま	n	sphere; globe; egg								
王	王	おう	n	king; monarch								
王様	王様	おうさま	n	king								
現す	現す	あらわす	vt	to represent; to stand for; to show; to display								
理論	理論	りろん	n	theory								
生地	生地	きじ	n	cloth; fabric; material								
田	田	た	n	rice field								
男の人	男の人	おとこのひと	n	man								
画像	画像[がぞう]	がぞう	n	image; picture								
略	略[りゃく]	りゃく	n	abbreviation; omission								
目が覚める	目が覚める	めがさめる	vi	to awaken								
目の前	目の前	めのまえ	n	before one's eyes								
目指す	目指す	めざす	vt	to aim for; to shoot for								
目薬	目薬	めぐすり	n	eye drops								
目覚まし時計	目覚まし時計	めざましどけい	n	alarm clock								
真っ直ぐ	真っ直ぐ	まっすぐ	adj-na,adv,n	straight ahead; direct; straight forward; honest								
真っ赤	真っ赤	まっか	adj-na,n	bright red; deep red								
真冬	真冬	まふゆ	n	midwinter								
真夏	真夏	まなつ	n	midsummer								
まさか	まさか	まさか	int	(uk) by no means; never!; something unexpected								
知り合い	知り合い	しりあい	n	acquaintance								
社会人	社会人	しゃかいじん	n	working adult								
程（ほど）	程（ほど）	ほど	n-adv,n	degree; extent								
やや	やや	やや	adv	a little; partially; slightly								
競走	競走[きょうそう]	きょうそう	n,vs	race								
粗い	粗[あら]い	あらい	adj-i	coarse; rough								
納豆	納豆[なっとう]	なっとう	n	natto (fermented soybeans)								
素敵	素敵[すてき]	すてき	adj-na	fantastic; superb								
経験者	経験者	けいけんしゃ	n	experienced person								
美容院	美容院	びよういん	n	beauty salon								
翌日	翌日[よくじつ]	よくじつ	n	next day								
販売機	販売機	はんばいき	n	vending machine							abbreviation of 自動販売機	
自動販売機	自動販売機	じどうはんばいき	n	vending machine								
花火	花火	はなび	n	fireworks								
芸能人	芸能人[げいのうじん]	げいのうじん	n	entertainer; celebrity								
いらいら	いらいら	いらいら	adv,n,vs	getting nervous; being irritated								
薬局	薬局	やっきょく	n	pharmacy								
蚊	蚊[か]	か	n	mosquito								
街	街[まち]	まち	n	city; town								
衝突	衝突[しょうとつ]	しょうとつ	n,vs	collision; crash | conflict								
表れる	表れる	あらわれる	vi	to appear; to become visible; to be expressed								
要するに	要するに	ようするに	exp	in a word; the point is; to put it simply								
親しむ	親しむ	したしむ	vi	to be close with; to befriend								
観光客	観光客	かんこうきゃく	n	tourist								
訳す	訳[やく]す	やくす	vt	to translate								
話しかける	話しかける	はなしかける	vt	to start a conversation								
話し合い	話し合い	はなしあい	n,vs	discussion								
説明書	説明書	せつめいしょ	n	instructions; manual								
～課	～課	～か	ctr	counter for chapters in a book								
豆腐	豆腐[とうふ]	とうふ	n	tofu; bean curd; beancurd								
起き上がる	起き上がる	おきあがる	vi	to rise; to get up								
超える	超[こ]える	こえる	vt	to exceed								
身体	身体	しんたい	n	body; person								
近づく	近づく	ちかづく	vi	to approach; to draw near								
返却	返却	へんきゃく	n,vs	return; repayment								
迷う	迷う	まよう	vi	to be lose one's way; to be puzzled								
送信	送信	そうしん	n,vs	transmission; sending								
～途端	～ 途端[とたん]	～とたん	adv	just as; at the moment of								
通信販売	通信販売	つうしんはんばい	n,adj-no	mail order								
週末	週末	しゅうまつ	n-adv,n	weekend								
違いない	違いない	ちがいない	exp	sure; for certain; no mistaking it								
間違いない	間違いない	まちがいない	exp	sure; for certain; no mistaking it								
配送	配送	はいそう	n,vs	delivery								
重傷	重傷[じゅうしょう]	じゅうしょう	n	serious wound; serious injury								
間違う	間違う	まちがう	vi,vt	to make a mistake; to be mistaken								
陰	陰[かげ]	かげ	n	shade; shadow								
音楽家	音楽家	おんがくか	n	musician								
頃	頃[ころ、ごろ]	ころ、ごろ	n,n-adv,n-suf	approximate time; around; about								
飛び出す	飛び出す	とびだす	vi	to jump out; to rush out								
食中毒	食中毒[しょくちゅうどく]	しょくちゅうどく	n	food poisoning								
鳴き声	鳴き声	なきごえ	n,vs	animal cry; roar; chirp; tweet								
いたずら	いたずら	いたずら	n,vs,adj-na,adj-no	prank; trick; fooling around with								
おしゃべり	おしゃべり	おしゃべり	n,vs	chattering; chitchat; gossip								
あいにく	あいにく	あいにく	adj-na,adv,n,adj-no	unfortunately; Sorry, but								
くしゃみ	くしゃみ	くしゃみ	n	sneeze								
せき	せき	せき	n	cough								
あくび	あくび	あくび	n	yawn								
あちこち	あちこち	あちこち	adv	here and there; all around								
あらゆる	あらゆる	あらゆる	adj	all; every								
あるいは	あるいは	あるいは	conj,exp	or; possibly								
あんまり	あんまり	あんまり	adv	not very; not much | surplus; excess								
いずれ	いずれ	いずれ	adv,adj-no	anyway; anyhow | at some future date or time								
頂きます	頂きます	いただきます	exp	expression of gratitude before meals								
いちご	いちご	いちご	n	strawberry								
いつでも	いつでも	いつでも	adv	any time; whenever								
いつまでも	いつまでも	いつまでも	adv	forever; as long as one likes; indefinitely								
いわゆる	いわゆる	いわゆる	adj	the so-called								
うがい	うがい	うがい	n,vs	(uk) gargling; rinsing one's mouth								
うどん	うどん	うどん	n	udon; thick Japanese noodles								
うなぎ	うなぎ	うなぎ	n	eel								
おそらく	おそらく	おそらく	adv	perhaps; likely; probably								
おめでとうございます	おめでとうございます	おめでとうございます	exp	congratulations!								
おめでとう	おめでとう	おめでとう	exp	congratulations!								
およそ	およそ	およそ	adv	about; roughly; approximately								
かゆい	かゆい	かゆい	adj-i	itchy								
かわいそう	かわいそう	かわいそう	adj-na	pathetic; pitiful								
こしょう	こしょう	こしょう	n	pepper								
これら	これら	これら	n	these								
さて	さて	さて	conj	well now; then								
さらに	さらに	さらに	adv,conj	furthermore; moreover								
しかも	しかも	しかも	conj	furthermore | nevertheless; and yet								
しきりに	しきりに	しきりに	adv	frequently; repeatedly								
したがって	したがって	したがって	conj	therefore; consequently								
しっぽ	しっぽ	しっぽ	n	tail								
しばしば	しばしば	しばしば	adv	often; repeatedly								
しまった	しまった	しまった	int	damn it!; oops!								
しゃべる	しゃべる	しゃべる	vi	to talk; to chat								
しわ	しわ	しわ	n	wrinkle								
すなわち	すなわち	すなわち	conj	that is; i.e.								
すみません	すみません	すみません	exp	excuse me; I'm sorry								
そこで	そこで	そこで	conj	so; accordingly								
そのうち	そのうち	そのうち	adv	eventually; sooner or later								
そのまま	そのまま	そのまま	adv,adj-no	as it is (was)								
そば	そば	そば	n	beside; near								
それぞれ	それぞれ	それぞれ	adv,adj-no	each; respectively								
それでも	それでも	それでも	conj	but (still); even so								
それとも	それとも	それとも	conj	or; or else								
たとえ	たとえ	たとえ	adv	even if; no matter								
たびたび	たびたび	たびたび	adv	often; again and again								
たまらない	たまらない	たまらない	adj-i	unbearable | irresistible								
だいたい	だいたい	だいたい	adv,n	generally; approximately								
ちょうだい	ちょうだい	ちょうだい	n,vs	(hum) to receive; (hum) to eat; to drink								
つまり	つまり	つまり	adv	that is; in other words								
つらい	つらい	つらい	adj-i	painful; heart-breaking								
ところが	ところが	ところが	conj	despite; however								
ところで	ところで	ところで	conj	by the way								
とにかく	とにかく	とにかく	adv	anyhow; at any rate								
どうしても	どうしても	どうしても	adv	at any cost; no matter what								
どこか	どこか	どこか	n	somewhere; anywhere								
なお	なお	なお	conj	furthermore; still								
なぜなら	なぜなら	なぜなら	conj	because; the reason is								
にんじん	にんじん	にんじん	n	carrot								
はさみ	はさみ	はさみ	n	scissors								
はちみつ	はちみつ	はちみつ	n	honey								
ひび	ひび	ひび	n,adj-no	crack; rift								
蓋	蓋	ふた	n	cover; lid								
ふと	ふと	ふと	adv	suddenly; casually; accidentally								
ほぼ	ほぼ	ほぼ	adv	almost; approximately								
まさに	まさに	まさに	adv	exactly; certainly | right then; just then								
ますます	ますます	ますます	adv	increasingly; more and more								
まるで	まるで	まるで	adv	entirely; completely								
もしも	もしも	もしも	adv	if								
やがて	やがて	やがて	adv	before long; soon | finally; in the end								
～によると	～によると	～によると	exp	according to ～								
わがまま	わがまま	わがまま	adj-na,n	selfishness								
わざと	わざと	わざと	adv	on purpose								
わざわざ	わざわざ	わざわざ	adv	specially; especially; intentionally								
あこがれる	あこがれる	あこがれる	vi	to long for								
あせる	あせる	あせる	vi	to be in a hurry; to be flustered								
宛先	宛先[あてさき]	あてさき	n	destination; addressee								
いっせいに	いっせいに	いっせいに	adv	simultaneously; all at once								
うなる	うなる	うなる	vi	to groan; to moan								
エビ	エビ	えび	n	shrimp								
おじ	おじ	おじ	n	uncle								
おば	おば	おば	n	aunty								
おまえ	おまえ	おまえ	pn,adj-no	you (familiar person)								
お詫び	お 詫[わ]び	おわび	n,vs	apology								
かわいらしい	かわいらしい	かわいらしい	adj-i	lovely; sweet								
くやしい	くやしい	くやしい	adj-i	frustrating; regrettable								
しかたない	しかたない	しかたない	exp	it can't be helped								
席（せき）	席（せき）[せき]	せき	n	seat								
潰す	潰[つぶ]す	つぶす	vt	to smash; to crush								
何も	何も	なにも	n	nothing (with neg. verbs)								
蜂	蜂[はち]	はち	n	bee								
スズメバチ	スズメバチ	すずめばち	n	wasp								
あんなに	あんなに	あんなに	adv	to that extent								
嫌な	嫌[いや]な	いやな	adj-na	unpleasant								
嘘をつく	嘘[うそ]をつく	うそをつく	vi	to (tell a) lie								
お昼	お昼	おひる	n	lunch; noon break								
お相撲さん	お 相撲[すもう]さん	おすもうさん	n	sumowrestler								
お祈り	お 祈[いの]り	おいのり	n,vs	a wish								
お茶会	お茶会	おちゃかい	n	tea party								
かっこいい	かっこいい	かっこいい	adj-i	cool; looking good								
ぐつぐつ	ぐつぐつ	ぐつぐつ	n,vs	simmering								
ケチ	ケチ	けち	adj-na	stingy; miser								
この辺り	この辺り	このあたり	n	this area; around here								
合格者	合格者	合格者	n	person who passed								
ごめんなさい	ごめんなさい	ごめんなさい	exp	I'm sorry; excuse me								
しょうがない	しょうがない	しょうがない	exp	it can't be helped								
じっと	じっと	じっと	adv,vs	intently; stoically; quietly								
できれば	できれば	できれば	adv	if at all possible								
入会	入会	にゅうかい	n,vs	becoming a member; joining a group								
喉が乾く	喉[のど]が 乾[かわ]く	のどがかわく	exp,vi	to be thirsty								
腹が立つ	腹が立つ	はらがたつ	exp,vi	to be angry								
ばらばら	ばらばら	ばらばら	adv	unorganized; disarrayed								
本日	本日	ほんじつ	n	today								
やる気が出る	やる気が出る	やるきがでる	vi	to become motivated								
ゆっくり	ゆっくり	ゆっくり	adv-to,vs	slowly; at easy								
予約制	予約制[よやくせい]	よやくせい	adj-no	by reservation								
我が～	我[わ]が～	わが～	n	our ～	我が社		our company	我が家		our home		
インターンシップ	インターンシップ	インターンシップ	n	internship								
ウイルスソフト	ウイルスソフト	ウイルスソフト	n	anti-virus software								
カビ	カビ	カビ	n	mold								
ガーデニング	ガーデニング	ガーデニング	n,vs	gardening								
キュウリ	キュウリ	キュウリ	n	cucumber								
クーポン券	クーポン券	クーポンけん	n	coupon								
グループディスカッション	グループディスカッション	グループディスカッション	n	group discussion								
ゴールを決める	ゴールを決める	コールをきめる	vi	to score a goal								
サプリ	サプリ	サプリ	n	supplement (drug, medicine)							abbreviation of サプリメント	
サプリメント	サプリメント	サプリメント	n	supplement (drug, medicine)								
サポート	サポート	サポート	n,vs	support								
ショッピング	ショッピング	ショッピング	n,vs	shopping								
ストレスがたまる	ストレスがたまる	ストレスがたまる	vi	to build up stress								
スポーツクラブ	スポーツクラブ	スポーツクラブ	n	sports club; sports gym								
スポーツ選手	スポーツ選手	スポーツせんしゅ	n	athlete								
デジカメ	デジカメ	デジカメ	n	digital camera								
なす	なす	なす	n	eggplant								
ネットショッピング	ネットショッピング	ネットショッピング	n,vs	online shopping								
ネット	ネット	ネット	n	internet; (physical) net							abbreviation of インターネット	
はと	はと	はと	n	pigeon								
バーベキュー	バーベキュー	バーベキュー	n	barbeque								
パリ	パリ	パリ	n	Paris								
ビニール袋	ビニール袋	ビニールぶくろ	n	plastic bag								
フィンランド	フィンランド	フィンランド	n	Finland								
プレゼン	プレゼン	プレゼン	n,vs	presentation							abbreviation of プレゼンテーション	
ヨーロッパ	ヨーロッパ	ヨーロッパ	n	Europe								
ランチ	ランチ	ランチ	n	lunch								
レシピ	レシピ	レシピ	n	recipe								
ワイワイ	ワイワイ	ワイワイ	adv,vs	boisterously; lively								
ワンルーム	ワンルーム	ワンルーム	n,adj-no	one-room (apartment)								
上記	上記	じょうき	n,adj-no	the above (text)								
下記	下記	かき	n,adj-no	the below (text)								
不便をかける	不便をかける	ふべんをかける	vi	to cause inconvenience								
交通安全	交通安全	こうつうあんぜん	n	traffic safety								
人混み	人混み	ひとごみ	n	a crowd of people								
付き合い	付き合い	つきあい	n	association; socializing								
仲良い	仲良[なかい]い	なかいい	adj-i	be friendly with							Same as 仲が良い	
仲が良い	仲[なか]が 良[い]い	なかがいい	adj-i	be friendly with							Same as 仲良い	
体を壊す	体[からだ]を 壊[こわ]す	からだをこわす	exp	to hurt one's health								
保険証	保険証[ほけんしょう]	ほけんしょう	n	insurance card								
信頼関係	信頼関係	しんらいかんけい	n	trusting relationship								
入会金	入会金	にゅうかいきん	n	initial membership fee								
写真家	写真家	しゃしんか	n	photographer								
出席率	出席率[しゅっせきりつ]	しゅっせきりつ	n	attendance rate								
力を合わせる	力を合わせる	ちからをあわせる	vi	to combine efforts								
～率	～ 率[りつ]	～りつ	n	～ rate; portion of ～								
化粧品	化粧品	けしょうひん	n	cosmetics								
卒業論文	卒業論文[そつぎょうろんぶん]	そつぎょうろんぶん	n	graduation thesis								
参考になる	参考になる	さんこうになる	vi	to be of use (as a reference)								
取り直す	取り直す	とりなおす	vt	to re-obtain								
取引先	取引先	とりひきさき	n	customer; client								
味付け	味付け	あじつけ	n,vs	flavoring, seasoning								
商店街	商店街[しょうてんがい]	しょうてんがい	n	shopping area; shopping arcade								
営業時間	営業時間	えいぎょうじかん	n	business hours								
営業部	営業部	えいぎょうぶ	n	sales department								
声をかける	声をかける	こえをかける	vi	to call someone								
大事故	大事故	だいじこ	n	major accident; major incident								
子犬	子犬	こいぬ	n	puppy								
子育て	子育て	こそだて	n	raising a child								
寝不足	寝不足	ねぶそく	n	lack of sleep								
専門分野	専門分野	せんもんぶんや	n	area of expertise; specialization								
山ほど	山ほど	やまほど	n,adv	a lot; a great amount of								
希望者	希望者	きぼうしゃ	n	applicant								
徐々に	徐々[じょじょ]に	じょじょに	adv	steadily; little by little								
息が切れる	息が切れる	いきがきれる	vi	to be out of breath								
息が止まる	息が止まる	いきがとまる	vi	to stop breathing								
成人式	成人式	せいじんしき	n	coming-of-age ceremony								
指導員	指導員[しどういん]	しどういん	n	instructor								
新入社員	新入社員	しんにゅうしゃいん	n	new employee								
新商品	新商品	しんしょうひん	n	new product								
新製品	新製品	しんせいひん	n	new (manufactured) product								
正社員	正社員	せいしゃいん	n	full-time employee								
洗い流す	洗い流す	あらいながす	vt	to rinse off								
洗濯物	洗濯物[せんたくもの]	せんたくもの	n	laundry								
特に～ない	特に～ない	とくに～ない	exp	not particularly ～								
生クリーム	生クリーム	なまクリーム	n	whipped cream								
目が回る	目が回る	めがまわる	vi	to be dizzy								
経済学	経済学	けいざいがく	n	(study of) economics								
背が伸びる	背[せ]が 伸[の]びる	せがのびる	vi	to grow (height)								
自信がつく	自信がつく	じしんがつく	vi	to gain confidence								
物入れ	物入れ	ものいれ	n	container/place to put things								
観光地	観光地	かんこうち	n	tourist attraction								
調子が悪い	調子が悪い	ちょうしがわるい	adj-i	feeling sick								
気分が悪い	気分[きぶん]が 悪[わる]い	きぶんがわるい	adj-i	not feeling well								
迷惑メール	迷惑[めいわく]メール	めいわくメール	n	spam (email)								
陽気	陽気	ようき	adj-na	cheerful; lively								
電気自動車	電気自動車	えんきじどうしゃ	n	electric car; electric vehicle								
韓国語	韓国語[かんこくご]	かんこくご	n	Korean language								
食材	食材	しょくざい	n	food stuffs; ingredients								
髪型	髪型	かみがた	n	hair style								
