生<div class="hint">raw; uncooked; fresh; natural</div>,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
敬語<div class="hint">honorific language</div>,けいご,honorific language,お <ruby>客様<rt>きゃくさま</rt></ruby>には <ruby>敬語<rt>けいご</rt></ruby>を <ruby>使<rt>つか</rt></ruby>いなさい。,Use polite language to customers.
料理屋<div class="hint">restaurant</div>,りょうりや,restaurant,,
新婦<div class="hint">bride</div>,しんぷ,bride,,
新郎<div class="hint">bridegroom</div>,しんろう,bridegroom,,
既に<div class="hint">already</div>,すでに,already,そのことは <ruby>既<rt>すで</rt></ruby>にみんな <ruby>知<rt>し</rt></ruby>っています。,Everyone already knows that.
日ごろ<div class="hint">normally; habitually</div>,ひごろ,normally; habitually,<ruby>彼女<rt>かのじょ</rt></ruby>には <ruby>日<rt>ひ</rt></ruby>ごろからお <ruby>世話<rt>せわ</rt></ruby>になっています。,I owe her a lot for helping me out on a daily basis.
旧～<div class="hint">ex-; former-; old-</div>,きゅう～,ex-; former-; old-,,
昇る<div class="hint">to ascend; to climb</div>,のぼる,to ascend; to climb,<ruby>太陽<rt>たいよう</rt></ruby>は <ruby>東<rt>ひがし</rt></ruby>から <ruby>昇<rt>のぼ</rt></ruby>ります。,The sun rises in the east.
星占い<div class="hint">astrology; horoscope</div>,ほしうらない,astrology; horoscope,,
昨年<div class="hint">last year</div>,さくねん,last year,<ruby>昨年<rt>さくねん</rt></ruby>は <ruby>地震<rt>じしん</rt></ruby>が <ruby>多<rt>おお</rt></ruby>い <ruby>年<rt>とし</rt></ruby>でした。,We had a lot of earthquakes last year.
昨晩<div class="hint">last night</div>,さくばん,last night,<ruby>昨晩<rt>さくばん</rt></ruby>の <ruby>雪<rt>ゆき</rt></ruby>がまだ <ruby>庭<rt>にわ</rt></ruby>に <ruby>残<rt>のこ</rt></ruby>っている。,Last night's snow is still in the garden.
昼過ぎ<div class="hint">a little past noon</div>,ひるすぎ,a little past noon,<ruby>今日<rt>きょう</rt></ruby>は <ruby>昼過<rt>ひるす</rt></ruby>ぎまで <ruby>寝<rt>ね</rt></ruby>ていた。,Today I slept until after midday.
時給<div class="hint">hourly wage</div>,じきゅう,hourly wage,この <ruby>仕事<rt>しごと</rt></ruby>は <ruby>時給<rt>じきゅう</rt></ruby>１０００ <ruby>円<rt>えん</rt></ruby>です。,You get an hourly wage of 1000 yen in this job.
曜日<div class="hint">day of the week</div>,ようび,day of the week,<ruby>曜日<rt>ようび</rt></ruby>を <ruby>間違<rt>まちが</rt></ruby>えました。,I got the day of the week wrong.
替える<div class="hint">to replace; to exchange; to substitute</div>,かえる,to replace; to exchange; to substitute,,
～最中<div class="hint">in the middle of ～</div>,～さいちゅう,in the middle of ～,,
月曜<div class="hint">Monday</div>,げつよう,Monday,Abbreviation of 月曜日,
火曜<div class="hint">Tuesday</div>,かよう,Tuesday,Abbreviation of 火曜日,
水曜<div class="hint">Wednesday</div>,すいよう,Wednesday,Abbreviation of 水曜日,
木曜<div class="hint">Thursday</div>,もくよう,Thursday,Abbreviation of 木曜日,
金曜<div class="hint">Friday</div>,きんよう,Friday,Abbreviation of 金曜日,
土曜<div class="hint">Saturday</div>,どよう,Saturday,Abbreviation of 土曜日,
日曜<div class="hint">Sunday</div>,にちよう,Sunday,Abbreviation of 日曜日,
朝寝坊<div class="hint">oversleeping</div>,あさねぼう,oversleeping,,
朝食<div class="hint">breakfast</div>,ちょうしょく,breakfast,<ruby>朝食<rt>ちょうしょく</rt></ruby>に <ruby>納豆<rt>なっとう</rt></ruby>を <ruby>食<rt>た</rt></ruby>べました。,I ate natto for breakfast.
本気<div class="hint">seriousness; earnestness</div>,ほんき,seriousness; earnestness,いや、 <ruby>僕<rt>ぼく</rt></ruby>は <ruby>本気<rt>ほんき</rt></ruby>なんだ。,No; I'm serious.
格好<div class="hint">shape; form; posture</div>,かっこう,shape; form; posture,<ruby>格好<rt>かっこう</rt></ruby>のいい <ruby>青年<rt>せいねん</rt></ruby>に <ruby>会<rt>あ</rt></ruby>ったよ。,I met a good-looking young man.
次回<div class="hint">next time</div>,じかい,next time,<ruby>次回<rt>じかい</rt></ruby>の <ruby>会議<rt>かいぎ</rt></ruby>は２ <ruby>週間<rt>しゅうかん</rt></ruby> <ruby>後<rt>ご</rt></ruby>に <ruby>行<rt>おこな</rt></ruby>います。,The next meeting will be held in two weeks.
～次第<div class="hint">depending on ～; as soon as ～</div>,～しだい,depending on ～; as soon as ～,,
残業<div class="hint">overtime (work)</div>,ざんぎょう,overtime (work),<ruby>昨日<rt>きのう</rt></ruby>は <ruby>遅<rt>おそ</rt></ruby>くまで <ruby>残業<rt>ざんぎょう</rt></ruby>しました。,I worked overtime till late yesterday.
毛虫<div class="hint">hairy caterpillar</div>,けむし,hairy caterpillar,,
注<div class="hint">annotation; explanatory note</div>,ちゅう,annotation; explanatory note,<ruby>詳<rt>くわ</rt></ruby>しくは <ruby>注<rt>ちゅう</rt></ruby>を <ruby>読<rt>よ</rt></ruby>んでください。,Please read the explanatory notes for more details.
津波<div class="hint">tidal wave</div>,つなみ,tidal wave,<ruby>地震<rt>じしん</rt></ruby>による <ruby>津波<rt>つなみ</rt></ruby>に <ruby>注意<rt>ちゅうい</rt></ruby>してください。,Beware of tidal waves caused by the earthquake.
浴衣<div class="hint">yukata (Japanese bathrobe)</div>,ゆかた,yukata (Japanese bathrobe),<ruby>浴衣<rt>ゆかた</rt></ruby>を <ruby>着<rt>き</rt></ruby>て <ruby>花火<rt>はなび</rt></ruby>を <ruby>見<rt>み</rt></ruby>に <ruby>行<rt>い</rt></ruby>った。,We went to watch the fireworks wearing our summer kimono.
満開<div class="hint">full bloom</div>,まんかい,full bloom,,
溶ける<div class="hint">to melt; to thaw</div>,とける,to melt; to thaw,<ruby>暑<rt>あつ</rt></ruby>さでアイスクリームが <ruby>溶<rt>と</rt></ruby>けてしまった。,The ice cream melted in the heat.
めったに<div class="hint">rarely; seldom</div>,めったに,rarely; seldom,<ruby>彼女<rt>かのじょ</rt></ruby>はめったに <ruby>怒<rt>おこ</rt></ruby>りません。,She rarely gets angry.
漫画家<div class="hint">cartoonist; manga artist</div>,まんがか,cartoonist; manga artist,,
熱中<div class="hint">enthusiasm; mania</div>,ねっちゅう,enthusiasm; mania,<ruby>彼<rt>かれ</rt></ruby>はゲームに <ruby>熱中<rt>ねっちゅう</rt></ruby>している。,He is obsessed with the game.
片手<div class="hint">one hand</div>,かたて,one hand,<ruby>片手<rt>かたて</rt></ruby> <ruby>運転<rt>うんてん</rt></ruby>は <ruby>危<rt>あぶ</rt></ruby>ないよ。,Single-handed driving is dangerous.
独り<div class="hint">one person; alone; solitary</div>,ひとり,one person; alone; solitary,,
玉<div class="hint">sphere; globe; egg</div>,たま,sphere; globe; egg,<ruby>彼<rt>かれ</rt></ruby>の <ruby>顔<rt>かお</rt></ruby>に <ruby>玉<rt>たま</rt></ruby>のような <ruby>汗<rt>あせ</rt></ruby>が <ruby>流<rt>なが</rt></ruby>れていたの。,Beads of sweat were rolling down his face.
王<div class="hint">king; monarch</div>,おう,king; monarch,<ruby>王<rt>おう</rt></ruby>の <ruby>墓<rt>はか</rt></ruby>を <ruby>見学<rt>けんがく</rt></ruby>したよ。,I visited the king's grave.
王様<div class="hint">king</div>,おうさま,king,その <ruby>国<rt>くに</rt></ruby>の <ruby>王様<rt>おうさま</rt></ruby>はとても <ruby>賢<rt>かしこ</rt></ruby>い。,The king in that country is very wise.
現す<div class="hint">to represent; to stand for; to show; to display</div>,あらわす,to represent; to stand for; to show; to display,<ruby>彼<rt>かれ</rt></ruby>はようやく <ruby>姿<rt>すがた</rt></ruby>を <ruby>現<rt>あらわ</rt></ruby>しましたね。,He finally showed up.
理論<div class="hint">theory</div>,りろん,theory,<ruby>彼<rt>かれ</rt></ruby>は <ruby>大学<rt>だいがく</rt></ruby>で <ruby>音楽<rt>おんがく</rt></ruby>の <ruby>理論<rt>りろん</rt></ruby>を <ruby>勉強<rt>べんきょう</rt></ruby>したんだよ。,He studied music theory in college.
生地<div class="hint">cloth; fabric; material</div>,きじ,cloth; fabric; material,<ruby>母<rt>はは</rt></ruby>がドレス <ruby>用<rt>よう</rt></ruby>の <ruby>生地<rt>きじ</rt></ruby>を <ruby>買<rt>か</rt></ruby>ってきた。,My mother has bought some cloth for the dress.
田<div class="hint">rice field</div>,た,rice field,<ruby>今<rt>いま</rt></ruby>は <ruby>田<rt>た</rt></ruby>に <ruby>水<rt>みず</rt></ruby>を <ruby>入<rt>い</rt></ruby>れる <ruby>季節<rt>きせつ</rt></ruby>です。,Now is the time to fill the rice paddies with water.
男の人<div class="hint">man</div>,おとこのひと,man,,
画像<div class="hint">image; picture</div>,がぞう,image; picture,デジタル <ruby>放送<rt>ほうそう</rt></ruby>の <ruby>画像<rt>がぞう</rt></ruby>は <ruby>鮮明<rt>せんめい</rt></ruby>です。,The digital broadcast images are clear.
略<div class="hint">abbreviation; omission</div>,りゃく,abbreviation; omission,「ＩＴ」は <ruby>何<rt>なん</rt></ruby>の <ruby>略<rt>りゃく</rt></ruby>か <ruby>知<rt>し</rt></ruby>っていますか。,Do you know what IT stands for?
目が覚める<div class="hint">to awaken</div>,めがさめる,to awaken,,
目の前<div class="hint">before one's eyes</div>,めのまえ,before one's eyes,,
目指す<div class="hint">to aim for; to shoot for</div>,めざす,to aim for; to shoot for,<ruby>私<rt>わたし</rt></ruby>は <ruby>料理<rt>りょうり</rt></ruby> <ruby>人<rt>にん</rt></ruby>を <ruby>目指<rt>めざ</rt></ruby>しています。,I intend to become a cook.
目薬<div class="hint">eye drops</div>,めぐすり,eye drops,<ruby>目<rt>め</rt></ruby>が <ruby>疲<rt>つか</rt></ruby>れたので <ruby>目薬<rt>めぐすり</rt></ruby>をさしたよ。,My eyes were tired; so I put in some eye drops.
目覚まし時計<div class="hint">alarm clock</div>,めざましどけい,alarm clock,７ <ruby>時<rt>じ</rt></ruby>に <ruby>目覚<rt>めざ</rt></ruby>まし <ruby>時計<rt>どけい</rt></ruby>が <ruby>鳴<rt>な</rt></ruby>りました。,The alarm clock went off at seven o'clock.
真っ直ぐ<div class="hint">straight ahead; direct; straight forward; honest</div>,まっすぐ,straight ahead; direct; straight forward; honest,この <ruby>道<rt>みち</rt></ruby>を <ruby>真<rt>ま</rt></ruby>っ <ruby>直<rt>す</rt></ruby>ぐ <ruby>行<rt>い</rt></ruby>ってください。,Please go straight along this road.
真っ赤<div class="hint">bright red; deep red</div>,まっか,bright red; deep red,<ruby>彼<rt>かれ</rt></ruby>の <ruby>顔<rt>かお</rt></ruby>は <ruby>真<rt>ま</rt></ruby>っ <ruby>赤<rt>か</rt></ruby>でした。,His face was all red.
真冬<div class="hint">midwinter</div>,まふゆ,midwinter,,
真夏<div class="hint">midsummer</div>,まなつ,midsummer,<ruby>真夏<rt>まなつ</rt></ruby>のビールはおいしい。,Beer tastes delicious in midsummer.
まさか<div class="hint">(uk) by no means; never!; something unexpected</div>,まさか,(uk) by no means; never!; something unexpected,まさか <ruby>車<rt>くるま</rt></ruby>が <ruby>当<rt>あ</rt></ruby>たるとは <ruby>思<rt>おも</rt></ruby>わなかった。,I never imagined I would win a car.
知り合い<div class="hint">acquaintance</div>,しりあい,acquaintance,<ruby>街<rt>まち</rt></ruby>で <ruby>知<rt>し</rt></ruby>り <ruby>合<rt>あ</rt></ruby>いを <ruby>見<rt>み</rt></ruby>かけたよ。,I saw an acquaintance in town.
社会人<div class="hint">working adult</div>,しゃかいじん,working adult,この <ruby>春<rt>はる</rt></ruby>に <ruby>彼<rt>かれ</rt></ruby>は <ruby>社会<rt>しゃかい</rt></ruby> <ruby>人<rt>じん</rt></ruby>になったよ。,He became a working adult this spring.
程（ほど）<div class="hint">degree; extent</div>,ほど,degree; extent,,
やや<div class="hint">a little; partially; slightly</div>,やや,a little; partially; slightly,この <ruby>服<rt>ふく</rt></ruby>、 <ruby>私<rt>わたし</rt></ruby>にはやや <ruby>小<rt>ちい</rt></ruby>さいみたい。,It looks like these clothes are a little tight on me.
競走<div class="hint">race</div>,きょうそう,race,,
粗い<div class="hint">coarse; rough</div>,あらい,coarse; rough,<ruby>彼<rt>かれ</rt></ruby>は <ruby>目<rt>め</rt></ruby>の <ruby>粗<rt>あら</rt></ruby>いセーターを <ruby>着<rt>き</rt></ruby>ていた。,He was wearing a loosely knit sweater.
納豆<div class="hint">natto (fermented soybeans)</div>,なっとう,natto (fermented soybeans),<ruby>私<rt>わたし</rt></ruby>は <ruby>納豆<rt>なっとう</rt></ruby>をよく <ruby>食<rt>た</rt></ruby>べます。,I often eat natto.
素敵<div class="hint">fantastic; superb</div>,すてき,fantastic; superb,<ruby>素敵<rt>すてき</rt></ruby>なプレゼントをありがとう。,Thank you for the wonderful gift.
経験者<div class="hint">experienced person</div>,けいけんしゃ,experienced person,,
美容院<div class="hint">beauty salon</div>,びよういん,beauty salon,<ruby>父<rt>ちち</rt></ruby>は <ruby>美容<rt>びよう</rt></ruby> <ruby>院<rt>いん</rt></ruby>で <ruby>髪<rt>かみ</rt></ruby>を <ruby>切<rt>き</rt></ruby>ります。,My father has his hair cut at a hair salon.
翌日<div class="hint">next day</div>,よくじつ,next day,<ruby>翌日<rt>よくじつ</rt></ruby>、 <ruby>彼<rt>かれ</rt></ruby>に <ruby>会<rt>あ</rt></ruby>いに <ruby>行<rt>い</rt></ruby>きました。,I went to see him the next day.
販売機<div class="hint">vending machine</div>,はんばいき,vending machine,abbreviation of 自動販売機,
自動販売機<div class="hint">vending machine</div>,じどうはんばいき,vending machine,,
花火<div class="hint">fireworks</div>,はなび,fireworks,<ruby>昨日<rt>きのう</rt></ruby>、 <ruby>花火<rt>はなび</rt></ruby>を <ruby>見<rt>み</rt></ruby>に <ruby>行<rt>い</rt></ruby>ったよ。,I went to see fireworks yesterday.
芸能人<div class="hint">entertainer; celebrity</div>,げいのうじん,entertainer; celebrity,<ruby>町<rt>まち</rt></ruby>で <ruby>芸能人<rt>げいのうじん</rt></ruby>を <ruby>見<rt>み</rt></ruby>かけた。,I saw a celebrity in town.
いらいら<div class="hint">getting nervous; being irritated</div>,いらいら,getting nervous; being irritated,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>朝<rt>あさ</rt></ruby>からいらいらしている。,She's been feeling irritated since this morning.
薬局<div class="hint">pharmacy</div>,やっきょく,pharmacy,<ruby>薬局<rt>やっきょく</rt></ruby>で <ruby>目薬<rt>めぐすり</rt></ruby>を <ruby>買<rt>か</rt></ruby>いました。,I bought some eye drops at the drugstore.
蚊<div class="hint">mosquito</div>,か,mosquito,<ruby>蚊<rt>か</rt></ruby>に <ruby>足<rt>あし</rt></ruby>を <ruby>刺<rt>さ</rt></ruby>された。,I was bitten on my foot by a mosquito.
街<div class="hint">city; town</div>,まち,city; town,,
衝突<div class="hint">collision; crash | conflict</div>,しょうとつ,collision; crash | conflict,そこの <ruby>角<rt>かど</rt></ruby>で <ruby>車<rt>くるま</rt></ruby> <ruby>同士<rt>どうし</rt></ruby>が <ruby>衝突<rt>しょうとつ</rt></ruby>したのよ。,The cars collided into each other at the corner there.
表れる<div class="hint">to appear; to become visible; to be expressed</div>,あらわれる,to appear; to become visible; to be expressed,,
要するに<div class="hint">in a word; the point is; to put it simply</div>,ようするに,in a word; the point is; to put it simply,<ruby>要<rt>よう</rt></ruby>するに <ruby>時機<rt>じき</rt></ruby>を <ruby>待<rt>ま</rt></ruby>つべきだ。,In short; we should wait for the right opportunity.
親しむ<div class="hint">to be close with; to befriend</div>,したしむ,to be close with; to befriend,ハイキングは <ruby>自然<rt>しぜん</rt></ruby>に <ruby>親<rt>した</rt></ruby>しむ <ruby>良<rt>い</rt></ruby>い <ruby>機会<rt>きかい</rt></ruby>ですよ。,Hiking is a good chance to get close to nature.
観光客<div class="hint">tourist</div>,かんこうきゃく,tourist,,
訳す<div class="hint">to translate</div>,やくす,to translate,この <ruby>文<rt>ぶん</rt></ruby>を <ruby>訳<rt>やく</rt></ruby>してください。,Please translate this sentence.
話しかける<div class="hint">to start a conversation</div>,はなしかける,to start a conversation,,
話し合い<div class="hint">discussion</div>,はなしあい,discussion,プロジェクトメンバーと <ruby>話<rt>はな</rt></ruby>し <ruby>合<rt>あ</rt></ruby>いをしたの。,I had a discussion with the project members.
説明書<div class="hint">instructions; manual</div>,せつめいしょ,instructions; manual,,
～課<div class="hint">counter for chapters in a book</div>,～か,counter for chapters in a book,,
豆腐<div class="hint">tofu; bean curd; beancurd</div>,とうふ,tofu; bean curd; beancurd,<ruby>私<rt>わたし</rt></ruby>は <ruby>毎日<rt>まいにち</rt></ruby> <ruby>豆腐<rt>とうふ</rt></ruby>を <ruby>食<rt>た</rt></ruby>べます。,I eat tofu every day.
起き上がる<div class="hint">to rise; to get up</div>,おきあがる,to rise; to get up,<ruby>弟<rt>おとうと</rt></ruby>はようやくベッドから <ruby>起<rt>お</rt></ruby>き <ruby>上<rt>あ</rt></ruby>がった。,My younger brother finally got out of bed.
超える<div class="hint">to exceed</div>,こえる,to exceed,,
身体<div class="hint">body; person</div>,しんたい,body; person,<ruby>健康<rt>けんこう</rt></ruby>な <ruby>身体<rt>しんたい</rt></ruby>には <ruby>健全<rt>けんぜん</rt></ruby>な <ruby>精神<rt>せいしん</rt></ruby>が <ruby>宿<rt>やど</rt></ruby>る。,A sound mind in a sound body.
近づく<div class="hint">to approach; to draw near</div>,ちかづく,to approach; to draw near,,
返却<div class="hint">return; repayment</div>,へんきゃく,return; repayment,<ruby>図書館<rt>としょかん</rt></ruby>に <ruby>本<rt>ほん</rt></ruby>を <ruby>返却<rt>へんきゃく</rt></ruby>したよ。,I returned the book to the library.
迷う<div class="hint">to be lose one's way; to be puzzled</div>,まよう,to be lose one's way; to be puzzled,<ruby>道<rt>みち</rt></ruby>に <ruby>迷<rt>まよ</rt></ruby>いました。,I'm lost.
送信<div class="hint">transmission; sending</div>,そうしん,transmission; sending,<ruby>社長<rt>しゃちょう</rt></ruby>が <ruby>全<rt>ぜん</rt></ruby> <ruby>社員<rt>しゃいん</rt></ruby>にメールを <ruby>送信<rt>そうしん</rt></ruby>した。,The president sent an email to all employees.
～途端<div class="hint">just as; at the moment of</div>,～とたん,just as; at the moment of,,
通信販売<div class="hint">mail order</div>,つうしんはんばい,mail order,,
週末<div class="hint">weekend</div>,しゅうまつ,weekend,<ruby>週末<rt>しゅうまつ</rt></ruby>は <ruby>家<rt>うち</rt></ruby>でゆっくりします。,I relax at home on weekends.
違いない<div class="hint">sure; for certain; no mistaking it</div>,ちがいない,sure; for certain; no mistaking it,<ruby>彼<rt>かれ</rt></ruby>は <ruby>成功<rt>せいこう</rt></ruby>するに <ruby>違<rt>ちが</rt></ruby>いないわ。,He will succeed for sure.
間違いない<div class="hint">sure; for certain; no mistaking it</div>,まちがいない,sure; for certain; no mistaking it,,
配送<div class="hint">delivery</div>,はいそう,delivery,,
重傷<div class="hint">serious wound; serious injury</div>,じゅうしょう,serious wound; serious injury,<ruby>事故<rt>じこ</rt></ruby>で 2<ruby>人<rt>ふたり</rt></ruby>が <ruby>重傷<rt>じゅうしょう</rt></ruby>を <ruby>負<rt>お</rt></ruby>いました。,Two people sustained serious injury in the accident.
間違う<div class="hint">to make a mistake; to be mistaken</div>,まちがう,to make a mistake; to be mistaken,あなたは <ruby>間違<rt>まちが</rt></ruby>っている。,You're wrong.
陰<div class="hint">shade; shadow</div>,かげ,shade; shadow,<ruby>陰<rt>かげ</rt></ruby>で <ruby>少<rt>すこ</rt></ruby>し <ruby>休憩<rt>きゅうけい</rt></ruby>しましょう。,Let's take a rest in the shade.
音楽家<div class="hint">musician</div>,おんがくか,musician,,
頃<div class="hint">approximate time; around; about</div>,ころ、ごろ,approximate time; around; about,,
飛び出す<div class="hint">to jump out; to rush out</div>,とびだす,to jump out; to rush out,<ruby>彼<rt>かれ</rt></ruby>は <ruby>道路<rt>どうろ</rt></ruby>に <ruby>飛<rt>と</rt></ruby>び <ruby>出<rt>だ</rt></ruby>したの。,He ran out into the road.
食中毒<div class="hint">food poisoning</div>,しょくちゅうどく,food poisoning,<ruby>夏場<rt>なつば</rt></ruby>は <ruby>食中毒<rt>しょくちゅうどく</rt></ruby>の <ruby>発生<rt>はっせい</rt></ruby>が <ruby>増<rt>ふ</rt></ruby>える。,Cases of food poisoning increase in the summer.
鳴き声<div class="hint">animal cry; roar; chirp; tweet</div>,なきごえ,animal cry; roar; chirp; tweet,,
いたずら<div class="hint">prank; trick; fooling around with</div>,いたずら,prank; trick; fooling around with,その <ruby>子<rt>こ</rt></ruby>はいたずらが <ruby>大好<rt>だいす</rt></ruby>きだ。,That kid loves playing tricks.
おしゃべり<div class="hint">chattering; chitchat; gossip</div>,おしゃべり,chattering; chitchat; gossip,<ruby>妹<rt>いもうと</rt></ruby>はとてもおしゃべりです。,My little sister's very talkative.
あいにく<div class="hint">unfortunately; Sorry; but</div>,あいにく,unfortunately; Sorry; but,<ruby>途中<rt>とちゅう</rt></ruby>であいにく <ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>り <ruby>出<rt>だ</rt></ruby>したの。,Unfortunately; it began to rain on the way.
くしゃみ<div class="hint">sneeze</div>,くしゃみ,sneeze,<ruby>風邪<rt>かぜ</rt></ruby>でくしゃみが <ruby>止<rt>と</rt></ruby>まりません。,I can't stop sneezing because of my cold.
せき<div class="hint">cough</div>,せき,cough,,
あくび<div class="hint">yawn</div>,あくび,yawn,<ruby>父<rt>ちち</rt></ruby>があくびをした。,My father yawned.
あちこち<div class="hint">here and there; all around</div>,あちこち,here and there; all around,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>朝<rt>あさ</rt></ruby>からあちこち <ruby>散歩<rt>さんぽ</rt></ruby>しました。,Since this morning; we've been strolling about here and there.
あらゆる<div class="hint">all; every</div>,あらゆる,all; every,,
あるいは<div class="hint">or; possibly</div>,あるいは,or; possibly,,
あんまり<div class="hint">not very; not much | surplus; excess</div>,あんまり,not very; not much | surplus; excess,これはあんまり <ruby>好<rt>す</rt></ruby>きじゃないな。,I don't like this very much.
いずれ<div class="hint">anyway; anyhow | at some future date or time</div>,いずれ,anyway; anyhow | at some future date or time,いずれまたお <ruby>会<rt>あ</rt></ruby>いしましょう。,Let's meet again sometime.
頂きます<div class="hint">expression of gratitude before meals</div>,いただきます,expression of gratitude before meals,,
いちご<div class="hint">strawberry</div>,いちご,strawberry,このいちごはとても <ruby>甘<rt>あま</rt></ruby>い。,This strawberry is very sweet.
いつでも<div class="hint">any time; whenever</div>,いつでも,any time; whenever,いつでもうちに <ruby>来<rt>き</rt></ruby>てください。,Please come to my house any time.
いつまでも<div class="hint">forever; as long as one likes; indefinitely</div>,いつまでも,forever; as long as one likes; indefinitely,いつまでもあなたを <ruby>忘<rt>わす</rt></ruby>れません。,I will never forget you.
いわゆる<div class="hint">the so-called</div>,いわゆる,the so-called,,
うがい<div class="hint">(uk) gargling; rinsing one's mouth</div>,うがい,(uk) gargling; rinsing one's mouth,<ruby>冬<rt>ふゆ</rt></ruby>はまめにうがいをします。,I gargle a lot in winter.
うどん<div class="hint">udon; thick Japanese noodles</div>,うどん,udon; thick Japanese noodles,<ruby>私<rt>わたし</rt></ruby>はお <ruby>昼<rt>ひる</rt></ruby>にうどんを <ruby>食<rt>た</rt></ruby>べました。,I ate udon noodles for lunch.
うなぎ<div class="hint">eel</div>,うなぎ,eel,,
おそらく<div class="hint">perhaps; likely; probably</div>,おそらく,perhaps; likely; probably,,
おめでとうございます<div class="hint">congratulations!</div>,おめでとうございます,congratulations!,,
おめでとう<div class="hint">congratulations!</div>,おめでとう,congratulations!,,
およそ<div class="hint">about; roughly; approximately</div>,およそ,about; roughly; approximately,<ruby>家<rt>いえ</rt></ruby>から <ruby>駅<rt>えき</rt></ruby>までおよそ１キロあります。,It's about one kilometer from my home to the station.
かゆい<div class="hint">itchy</div>,かゆい,itchy,<ruby>背中<rt>せなか</rt></ruby>がかゆいです。,My back itches.
かわいそう<div class="hint">pathetic; pitiful</div>,かわいそう,pathetic; pitiful,そのかわいそうな <ruby>子供<rt>こども</rt></ruby>たちは <ruby>食<rt>た</rt></ruby>べるものがない。,Those poor children have nothing to eat.
こしょう<div class="hint">pepper</div>,こしょう,pepper,こしょうを <ruby>入<rt>い</rt></ruby>れ <ruby>過<rt>す</rt></ruby>ぎてスープが <ruby>辛<rt>から</rt></ruby>い。,I put in too much pepper; and now the soup is spicy.
これら<div class="hint">these</div>,これら,these,<ruby>今日<rt>きょう</rt></ruby>はこれらの <ruby>問題<rt>もんだい</rt></ruby>について <ruby>話<rt>はな</rt></ruby>し <ruby>合<rt>あ</rt></ruby>います。,We will discuss these issues today.
さて<div class="hint">well now; then</div>,さて,well now; then,,
さらに<div class="hint">furthermore; moreover</div>,さらに,furthermore; moreover,,
しかも<div class="hint">furthermore | nevertheless; and yet</div>,しかも,furthermore | nevertheless; and yet,,
しきりに<div class="hint">frequently; repeatedly</div>,しきりに,frequently; repeatedly,<ruby>彼<rt>かれ</rt></ruby>はしきりに <ruby>時計<rt>とけい</rt></ruby>を <ruby>気<rt>き</rt></ruby>にしていた。,He was constantly looking at the clock.
したがって<div class="hint">therefore; consequently</div>,したがって,therefore; consequently,,
しっぽ<div class="hint">tail</div>,しっぽ,tail,,
しばしば<div class="hint">often; repeatedly</div>,しばしば,often; repeatedly,<ruby>課長<rt>かちょう</rt></ruby>はしばしば <ruby>出張<rt>しゅっちょう</rt></ruby>します。,The section chief often goes on business trips.
しまった<div class="hint">damn it!; oops!</div>,しまった,damn it!; oops!,,
しゃべる<div class="hint">to talk; to chat</div>,しゃべる,to talk; to chat,<ruby>彼女<rt>かのじょ</rt></ruby>はよくしゃべるね。,She talks a lot.
しわ<div class="hint">wrinkle</div>,しわ,wrinkle,スカートにしわが <ruby>寄<rt>よ</rt></ruby>っているよ。,Your skirt is rumpled.
すなわち<div class="hint">that is; i.e.</div>,すなわち,that is; i.e.,,
すみません<div class="hint">excuse me; I'm sorry</div>,すみません,excuse me; I'm sorry,,
そこで<div class="hint">so; accordingly</div>,そこで,so; accordingly,,
そのうち<div class="hint">eventually; sooner or later</div>,そのうち,eventually; sooner or later,<ruby>彼女<rt>かのじょ</rt></ruby>もそのうち、 <ruby>親<rt>おや</rt></ruby>の <ruby>気持<rt>きも</rt></ruby>ちが <ruby>分<rt>わ</rt></ruby>かるだろう。,Sooner or later; she'll come to understand parental feelings.
そのまま<div class="hint">as it is (was)</div>,そのまま,as it is (was),そのままお <ruby>待<rt>ま</rt></ruby>ちください。,Hold on for a second; please.
そば<div class="hint">beside; near</div>,そば,beside; near,そばにいてください。,Stay with me.
それぞれ<div class="hint">each; respectively</div>,それぞれ,each; respectively,<ruby>人<rt>ひと</rt></ruby>はそれぞれ <ruby>考<rt>かんが</rt></ruby>え <ruby>方<rt>かた</rt></ruby>が <ruby>違<rt>ちが</rt></ruby>います。,Each person has different ideas.
それでも<div class="hint">but (still); even so</div>,それでも,but (still); even so,,
それとも<div class="hint">or; or else</div>,それとも,or; or else,,
たとえ<div class="hint">even if; no matter</div>,たとえ,even if; no matter,たとえ、 <ruby>嵐<rt>あらし</rt></ruby>になっても <ruby>絶対<rt>ぜったい</rt></ruby>に <ruby>行<rt>い</rt></ruby>く。,Even if the storm comes; I'll go for sure.
たびたび<div class="hint">often; again and again</div>,たびたび,often; again and again,,
